year,region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1987,Other,3,24,14.42,16.68,119.62666666666667,272.94,21.1
1988,Asia Pacific,165,11114,22952.11,30864.920000000002,6617.188424242424,1088569.18,86343.06
1988,Europe,48,1994,13359.82,31600.07,7813.883404255319,368319.38,55276.51
1988,North America,743,14761,49557.35,131171.63,3200.738427586207,1820335.39,303252.57
1988,Other,3,11,16.47,20.79,137.36333333333334,332.47,34.980000000000004
1989,Asia Pacific,174,13882,23383.62,38650.409999999996,6378.998034682081,1061288.6,88707.56
1989,Europe,103,5863,30601.02,36606.21,8284.499705882354,867112.18,118226
1989,North America,794,18163,55823.56,146970.86000000002,3466.777932379714,1975655.65,326462.68
1989,Other,7,29,64.7,40.76,138.68571428571428,861.5600000000001,93.5
1990,Asia Pacific,189,13587,29946.11,50137.75,7245.318624338624,1320858.15,100770.23
1990,Europe,113,5751,40701.26,48752.02,9729.632272727273,1053272.21,135374.35
1990,North America,783,17032,62042.23,157205.88,3201.795676037483,2050552.77,325761.87
1990,Other,5,27,86.63000000000001,50.01,252.346,1195.41,139.91
1991,Asia Pacific,194,14662,34082.89,58734.21,7688.63896373057,1407239.3,96386.93000000001
1991,Europe,116,6118,39358.12,44519.37,9902.134473684211,1074233.39,129374.63
1991,North America,845,18896,63965.28,160321.74,3500.9855266418836,2135433.71,315817.58
1991,Other,5,37,94.9,47.2,5777.378000000001,8517.95,2450.05
1992,Asia Pacific,204,15749,38960.159999999996,59003.48,8445.107733990148,1618422.23,97882.86
1992,Europe,120,5981,39278.27,32531.79,9213.180423728814,1022000.85,110187.29
1992,North America,936,20027,71027.01,156718.49,2967.4425675675675,2122754.07,324180.23
1992,Other,6,38,97.3,45.75,5100.71,8733.78,2274.11
1993,Asia Pacific,213,16817,42013.32,59181.88,9177.907594339622,1797273.27,98477.86
1993,Europe,125,5965,37728.29,42070.39,9330.830564516129,1045836.46,115843.19
1993,North America,991,21297,72238.94,164727.05,3546.8795846645367,2314610.5,367715.96
1993,Other,8,36,306.13,85.42999999999999,6835.47125,21833.14,4484.13
1994,Asia Pacific,227,17646,49053.61,74690.3,11397.952654867257,2183130.97,152394.54
1994,Europe,130,6081,44040.74,65417.31,11042.003100775193,1254871.86,164127.53
1994,North America,1117,22434,78219.32,193208.04,3130.012104283054,2571535.97,438125.95
1994,Other,8,40,337.42,416.68,5504.38125,22721.17,2747.31
1995,Asia Pacific,235,17663,40517,86760.44,9845.628846153846,1990182.26,195220.21
1995,Europe,137,6353,53338.69,72261.74,11275.578321167883,1423832.4,184965.98
1995,North America,1222,22597,93626.69,222135.96,3078.2983933054393,2864207.83,517229.75
1995,Other,13,53,406.83,507.07,3744.0676923076926,22489.510000000002,3013.74
1996,Asia Pacific,251,19369,40437.01,99276.43000000001,8328.90816,1863570.25,190728.48
1996,Europe,157,7188,58875.11,96116.33,10507.172628205128,1509199.56,202620.33
1996,North America,1358,25497,100013.19,254815.35,3049.443107599699,3113450.26,555059.89
1996,Other,10,48,394.47,137.83,5335.84,24667.77,2781.38
1997,Asia Pacific,253,19848,38470.58,80483.54,8096.551513944223,1748690.13,179663.92
1997,Europe,157,7729,61787.68,116277.79000000001,11709.928903225806,1531315.94,232386.82
1997,North America,1427,26570,113908.42,280067.12,3049.7077761732853,3337702.85,610569.35
1997,Other,13,43,451.36,3426.24,4060.5823076923075,25213.44,4336.15
1998,Asia Pacific,272,27495,49696.49,94684.51,8632.233851851852,1938106.75,197268.61
1998,Europe,169,10445,71131.38,138818.65,13970.325798816568,1812456.29,282986.34
1998,North America,1642,35418,134163.84,292878.06,3595.182739641311,3478623.69,670842.32
1998,Other,19,78,263.52,4768.17,2670.768947368421,21801.49,5137.34
1999,Asia Pacific,290,28903,75270.17,174379.09,9761.237222222222,2314967.37,280352.18
1999,Europe,195,11648,74137.55,157698.04,13563.182268041237,1831984.15,279883.55
1999,North America,1653,37121,135646.33,310488.69,4833.957908256881,3955736.08,830158.61
1999,Other,16,72,469.93,4102.92,3237.1568749999997,26730.01,8488.41
2000,Asia Pacific,292,29823,66216.76,154437.46,8418.628758620689,2036777.99,260246.24
2000,Europe,212,12558,80054.54,195710.26,18610.370995260662,2370679.19,399575.51
2000,North America,1751,39312,156461.12,376448.57,5814.060005767013,4863390.24,978302.15
2000,Other,26,95,869.94,6083.06,3402.7534782608695,49804.54,18170.19
2001,Asia Pacific,310,32482,67386.35,151284.11,7740.985548387097,1997640.42,221788.33
2001,Europe,223,14009,87041.82,161986.13999999998,15309.381801801803,2324037.51,358311.15
2001,North America,1750,41656,166615.89,360419.59,5635.5583536940085,4933774.24,836216.97
2001,Other,27,130,801.13,7455.09,2988.0307692307692,48403.58,15480.99
2002,Asia Pacific,322,34323,76040.59,170798.01,9141.117639751552,2296825.96,312626.02999999997
2002,Europe,226,14921,96422.92,201784.86000000002,15755.637433628319,2686051.6,411938.11
2002,North America,1697,42543,159577.76,293718.27,6673.611499402628,4770305.26,876815.44
2002,Other,27,126,819.12,7027.5,2266.0003846153845,38588.47,12367.72
2003,Asia Pacific,330,35023,91651.57,189402.38,12641.966484848484,2757314.18,397875.01
2003,Europe,220,14853,109730.81,200646.67,23459.219136363638,2919235.74,475798.91
2003,North America,1700,44568,163522.18,268796.76,7531.331639833035,5210658.85,946767.45
2003,Other,34,192,986.82,10136.78,2613.1485294117647,53577.42,17753.53
2004,Asia Pacific,337,36613,93679.45,241151.41,12999.869375,2985846.92,455209.65
2004,Europe,211,13912,123065.29,231285.32,19551.041516587677,3352269.53,560494.76
2004,North America,1620,43810,174477.56,328696.05,9326.697825,6154003.41,1164272.6
2004,Other,41,203,1909.27,13731.56,3133.690243902439,80570.89,26038.53
2005,Asia Pacific,332,32409,90343.02,243190.87,14941.238036253777,2960779.8,428661.67
2005,Europe,200,11312,107285.35,206222.72,27406.620301507537,3041347.97,572250.93
2005,North America,1530,39284,182407,337885.59,8839.71702631579,6354886.53,1176536.7
2005,Other,28,143,1581.43,17107.7,5010.1625,97061.28,31552.71
2006,Asia Pacific,343,41646,97386.44,288073.84,15822.6316374269,3414104.13,516349.96
2006,Europe,208,13360,125150.41,271153.01,41921.62058252427,3840251.82,745630.03
2006,North America,1563,47234,214065.69,404453.12,11021.525851132687,7213020.81,1422091.89
2006,Other,30,163,3560.86,22013.45,6633.46,116564.84,40023.51
2007,Asia Pacific,337,38936,119266.71,347040.83,19241.230771513354,4297992.03,646456.04
2007,Europe,203,11794,151620.41,301746.4,37820.484975124375,4187203.93,834805.36
2007,North America,1494,41869,225059.24,412031.82,15449.821897959184,7839224.27,1626938.84
2007,Other,28,148,2964.76,31063.08,9149.941785714285,153703.87,52129.950000000004
2008,Asia Pacific,336,40565,123458.42,342050.71,19078.845628742514,4146084.41,473210.91
2008,Europe,201,11684,147786.48,304247.91,49801.86909090909,4464586.28,761995.1900000001
2008,North America,1415,42598,233756.1,423062.43,14054.356837545127,7751501.38,1255237.03
2008,Other,23,157,4746.61,40279.39,11565.037391304348,182156.2,54830.39
2009,Asia Pacific,345,44174,117261.81,291182.2,19569.687855072465,3921065.51,512800.98
2009,Europe,205,12186,152547.09,277682.32,60808.60646766169,3974654.68,637316.88
2009,North America,1408,45301,205581.15,369238,16359.515395894428,7276947.91,1205880.42
2009,Other,28,190,3635.5,47677.54,13509.138571428572,165020.83,50129.75
2010,Asia Pacific,346,56243,146802.96,353900.15,22521.209072463767,4877764.09,681639.88
2010,Europe,206,16164,151560.31,253198.59,61023.98925742574,4136996.45,802095.94
2010,North America,1473,57834,224960.73,395346.75,20474.571008462623,8265595.7,1774692.1
2010,Other,30,239,3905.22,66613.19,18293.00933333333,234064.99,77080.56
2011,Asia Pacific,342,57583,161266.64,388943.28,24380.946832844576,5056409.03,673181.41
2011,Europe,212,15924,156448.24,273703.5,47799.7591509434,4469176.93,834470.14
2011,North America,1501,58696,242798.98,496725.28,20045.085544147845,9382599.76,1930495.59
2011,Other,36,219,5281.95,61595.95,16783.789411764705,274656.73,85001.75
2012,Asia Pacific,337,63920,146096.72,406216.48,26167.49228486647,4960593.94,666811.05
2012,Europe,212,17988,167474.37,335061.81,60933.99556603774,5007813.75,836278.6
2012,North America,1576,65723,261306.52,541351.66,18754.664,9419548.56,1945505.83
2012,Other,44,258,5206.1,62483.32,14224.581219512194,263539.5,56974.49
2013,Asia Pacific,324,65536,143130.97,423659.83999999997,25833.64348765432,5068685.65,720752.63
2013,Europe,220,20018,173754.1,349241.27,66994.10858447489,5123764.24,865203.03
2013,North America,1640,74098,273137.68,550294.7,18873.883503694582,9458861.31,2037664.45
2013,Other,41,275,4555.16,62088.19,13291.323170731706,239147.94,59706.28
2014,Asia Pacific,333,68838,137953.02,367502.51,24175.818138138136,4578734.25,681192.11
2014,Europe,215,21187,159316,306246.19,66450.79060747664,4562477.2,775448.66
2014,North America,1588,80651,294420.38,606611.39,21307.52246835443,9917929.15,2067775.47
2014,Other,47,290,4785.27,54124.32,11509.85,259397.68,54362.57
2015,Asia Pacific,333,68272,144959.78,374877.19,27192.470630630633,4540855.96,684596.79
2015,Europe,219,20426,155275.85,287347.35,50817.89917808219,4029849.87,687026.74
2015,North America,1510,75384,307264.54,544935.41,19580.136021220158,8963858.76,1881678.83
2015,Other,49,304,4179.51,42410.81,10052.570612244897,208384.08,41545.62
2016,Asia Pacific,317,67648,144819.24,365512.49,32002.675583596214,4345040.04,715345.48
2016,Europe,204,20056,154214.52,265151.75,55390.666666666664,3885560.66,673475.83
2016,North America,1415,74851,324882.03,516510.01,21341.876638358102,8965948.95,1848058.48
2016,Other,45,307,4490.5,29593.43,12181.521777777778,179917.79,52130.87
