year,region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,Asia Pacific,14,1799,2473.12,4280.7,6251.613571428571,139324.02,9143.88
1980,Europe,14,760,926.02,6917.64,6034.174285714286,100619.92,13642.04
1980,North America,510,13528,23809.26,134172.64,2449.362226640159,1333717.4,195575.76
1980,Other,1,1,0.28,0.2,10.64,5.2,1.54
1981,Asia Pacific,14,2334,2734.93,11772.23,8981.058571428572,148024.66,17273.9
1981,Europe,13,833,2228.5099999999998,8347.460000000001,6560.835384615385,100319.48,11888.01
1981,North America,510,14665,27409.079999999998,150569.92,2491.884365079365,1445379.23,204257.02
1982,Asia Pacific,17,2601,3428.02,12738.3,8480.221764705882,174361.39,18589.68
1982,Europe,15,819,2675.2,9038.48,6237.19,107186.78,11936.31
1982,North America,514,12878,30167.91,141931.03,2559.9645472440943,1392890.14,194432.85
1982,Other,1,1,0.54,0.64,13.84,8.18,0.71
1983,Asia Pacific,15,2752,4076.5,12871.039999999999,11047.224666666667,197556.91,20557.97
1983,Europe,20,899,2975.37,8477.6,5213.49,128934.9,14776.2
1983,North America,530,12927,32875.4,122304.3,2944.8289655172416,1460760.34,224027.33
1983,Other,1,1,5.02,18.71,291.54,132.07,24.69
1984,Asia Pacific,18,3813,4720.4,7929.63,7301.457777777778,190616.7,17033.899999999998
1984,Europe,23,1200,3452.62,11089.75,5440.320434782609,144223.29,20115.27
1984,North America,595,15146,40453.7,128054.23,2549.1597934595525,1532776.81,235344.58
1984,Other,1,3,7.47,16.99,306.17,147.62,-10.84
1985,Asia Pacific,18,4451,8009.3499999999995,77324.77,13170.779444444444,290814.79,33787.63
1985,Europe,28,1500,5404.95,17106.39,6991.861785714285,221079.04,31019.88
1985,North America,601,15694,38931.23,129915.05,2474.5628183361628,1471902.75,225931.71
1985,Other,3,6,12.83,15.14,119.13333333333334,216.68,-59.190000000000005
1986,Asia Pacific,18,4645,10637.12,21546.940000000002,16719.376111111113,333915.28,36382.7
1986,Europe,33,1482,7870.08,22915.1,7944.390909090909,257623.49,36341.98
1986,North America,641,13987,42259.67,120471.44,2505.1552672955977,1470946.01,222089.47
1986,Other,3,16,17.259999999999998,13.09,132.79000000000002,304.64,7.199999999999999
1987,Asia Pacific,155,11229,21261.16,27480.350000000002,6301.266,995367.47,68479.38
1987,Europe,37,1966,10228.83,25299.84,8787.511944444444,312245.07,44795.64
1987,North America,722,15848,47513.39,112701.58,2426.672384291725,1643879.2,253227.2
