sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
10,298,6922,34429.15,439114.19,16143.632798634811,2222605.8,748311.91
12,15,15,97.18,3962.83,6039.800666666667,172318.62,8796.21
13,957,31751,55605.21,972153.38,10103.497573839662,6890031.99,1443750.49
14,70,309,274.1,8266.75,1598.4610294117647,72573.36,14339.07
15,78,449,8463.12,8171.31,9423.06947368421,665091.79,33110.92
16,133,872,573.29,13819.42,3011.9535338345863,742030.22,39810.1
17,27,32,3.27,679.26,725.4118518518518,20883.78,2039.72
20,975,9848,80793.99,457910.58,12318.986573498965,10989392.53,1667111.03
21,115,1960,26998.47,80441.89,31697.75156521739,2993983.62,672965.59
22,288,2101,6516.72,17858.23,1582.8016666666667,418810.8,41990.6
23,145,330,248.66,9305.73,1812.0527272727272,291645.52999999997,36367.71
24,145,1023,2023.8,30174.27,4406.314685314685,457038.6,65140.21
25,464,5961,11107.33,24007.01,1301.5627370689656,824636.96,83833.61
26,886,28077,62451.89,257361.62,5499.451731207289,4291053.82,668046.48
27,369,4147,15321.67,56871.11,3830.5466666666666,1291502.63,161540.42
28,11263,306302,2687367.13,1878208.44,4439.811584069202,35803393.71,7100053.95
29,550,27313,137569.21,3235621.26,62305.760919117645,33564082.87,5470076.39
30,1056,23218,64291.03,178205.5,3345.7648799231506,3676001.48,461971.51
31,145,333,405.51,2904.74,633.301884057971,113501.6,12407.66
32,590,13168,23113.97,97050.01,3775.246871794872,1555191.16,227784.68
33,1241,22390,87356.65,465658.45,8764.585679414158,8719279.03,1010104.8
34,1213,9241,27443.88,81857.7,1774.1825836120402,2111911.23,280837.16
35,6978,417123,1050106.42,1010239.1,3799.6371162520004,23877130.54,2855559.39
36,9365,765192,1868488.97,2031989.89,3576.7734928904806,28535946.87,4176121.9
37,3236,242111,2038302.26,3766481.86,20807.895010934084,54473843.92,5766801.68
38,7341,249258,574315.03,391447.03,1718.693639143731,9573367.35,1511952.88
39,689,13834,31723.58,26784.55,1593.453671071953,926196.33,138657.67
40,47,106,0,93036.97,31949.438936170212,521483.09,200950.51
41,4,5,168.97,4341.73,17700.685,35523.81,7601.42
42,105,875,377.47,113682.03,25929.038252427184,3077968.56,198952.96
44,57,118,0,42644.74,8333.432499999999,329243.27,77409.25
45,116,471,34.19,169895.98,17008.60801724138,1814207.3,205434.64
46,6,8,0,8963.15,12713.595,69662.45,5470.95
47,18,24,2.23,2701.18,4627.580555555555,48593.549999999996,8210.73
48,1160,55045,228654.89,3553905.97,42644.34278988666,23294516.87,7359671.09
49,718,2026,5059.14,1043735.99,25206.193882681564,6394970.15,1649765.65
50,371,38685,2737.7400000000002,121075.93,15792.03093150685,8527837.95,204312.81
51,267,1518,7194.35,34125.77,5315.497148288973,4128926.86,121075.97
52,48,1483,9866.91,77940.26,34373.2825,1977175.82,241354.32
53,64,809,0,253081.49,67441.4053125,8090223.83,566066.13
54,18,23,0,4284.13,4588.716111111111,160951.17,10921.77
55,40,333,8576.98,239573.54,56176.828,3809497.56,296660.77999999997
56,50,87,0,4709.1,1254.6112,122696.06999999999,14116.12
57,29,79,0,3755.5299999999997,2494.8675,163911.71,12835.52
58,65,150,47.5,28488.079999999998,5052.658769230769,333357.48,80667.97
59,177,5543,59680.29,58535.73,8351.725375722543,2889598.7,180652.08
60,329,3979,94.41,91582.78,537254.6991768293,8302696.31,3339073.16
61,139,1321,38.660000000000004,66218.15,518195.7339855072,3911148.17,2195743.55
62,272,1489,1590.23,77603.95,182827.9081716418,2747752.76,1393502.58
63,190,739,1.8,60691.99,114998.65510526315,3452393.98,345320.83
64,22,25,96.89999999999999,1693.54,6071.489,57248.33,13882.12
65,72,113,126.16,1882.43,666.3702777777778,21175.84,2901.59
67,468,8574,11116.32,12159.92,1057.4471710526316,132574.95,37901.72
70,47,188,195.97,1304.19,799.5078260869565,29517.67,6207.9
72,42,63,39.379999999999995,1759.1299999999999,1483.6565853658537,59820.95,11857.13
73,4252,300384,1007233.6,635831.3,4003.138909003138,11660800.67,2446394.43
75,12,19,1.44,16310.630000000001,8025.5633333333335,47338.44,14131.82
76,15,33,0.85,104.1,124.50142857142858,3099.83,122.59
78,64,4657,9503.5,10329.75,4681.0740625,236526.59,27297.48
79,86,2851,1218.1599999999999,20404.02,5709.754,202281.55,48535.45
80,314,1617,3290.11,15491,1561.4726885245902,356129.78,64209.64
81,3,3,0,13.91,617.64,1880.2,281.86
82,24,42,52.46,886.35,1275.5560869565218,23553.31,3331.5
86,1,1,17.2,3.67,58.13,65.36,-14.16
87,596,3665,10824.3,13295,953.7880854700854,653301.76,87425.12
99,437,110790,326731.52,496272.62,44407.58627039627,7689970.59,1378591.1
