region,sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,10,26,100,1710.62,153987.54,51213.79,725584.1,267556.01
Asia Pacific,13,27,514,0,27417.9,8610.621481481481,84183.09,32284.03
Asia Pacific,14,4,4,1.06,2657.22,8531.79,14876.75,2353.58
Asia Pacific,15,52,406,8369.33,7320.91,12847.148076923077,605835.63,35315.11
Asia Pacific,20,80,1691,11750.64,22343.72,8124.876875,588408.54,60813.06
Asia Pacific,21,31,478,9966.78,19425.63,25711.86193548387,963562.37,101596.92
Asia Pacific,22,56,980,4837.62,5417.4800000000005,4133.515357142857,178706.09,13100.92
Asia Pacific,23,25,44,94.32,831.98,2087.2796,38407.69,3194
Asia Pacific,26,74,743,3592.91,21778.22,7223.599594594594,449367.98,46681.17
Asia Pacific,27,58,2695,9286.8,30557.47,13237.643965517242,713770.9400000001,69119.5
Asia Pacific,28,1351,40154,287629.49,284790.81,5916.76925980755,5897835.4,869037.69
Asia Pacific,29,33,309,14684.38,443674.61,114460.18121212121,3219859.86,531247.28
Asia Pacific,30,274,12793,27057.63,70096.13,5024.075839416058,1347083.67,166534.74
Asia Pacific,32,207,8748,16947.6,46356.64,5070.868212560386,736817.71,95541.42
Asia Pacific,33,399,16222,63153.33,238982.12,15789.119398496241,4775553.59,552230.25
Asia Pacific,34,109,1504,8591.99,16660.56,4065.7522935779816,419862.16,39082.77
Asia Pacific,35,1395,204991,345052.4,421789.34,6991.471728837877,9151873.41,843048.51
Asia Pacific,36,2000,412045,745082.57,1214495.67,8575.3799197995,15591608.57,1893223.7
Asia Pacific,37,785,106100,514905.77,1161360.37,23196.957439490445,15903199.27,1610169.51
Asia Pacific,38,751,105405,125365.11,98176.55,3856.295155615697,2301065.5,302149.62
Asia Pacific,39,159,7475,14993.710000000001,8383.63,3597.341509433962,407555.93,59725.37
Asia Pacific,41,3,4,168.97,4300.51,23369.45,33944.92,7529.200000000001
Asia Pacific,44,3,3,0,0,9420.796666666667,17493.989999999998,464.98
Asia Pacific,45,7,10,0,10921.1,14463.084285714285,69601.34,6787.4
Asia Pacific,48,172,7542,111612.61,1051105.9,56823.01534883721,5758049.41,1872015.28
Asia Pacific,49,51,524,4215.82,257446.35,79537.08176470589,1443816.7,330454.11
Asia Pacific,50,67,37887,1103.01,109142.28,80229.0876119403,7849550.96,156449.32
Asia Pacific,51,62,1016,7.23,157.22,236.5788524590164,18342.16,525.02
Asia Pacific,54,1,1,0,493.29,19119.44,18672.72,868.16
Asia Pacific,55,18,299,8576.98,237377.55,121691.57444444444,3733715.67,291509.86
Asia Pacific,60,19,200,0,17007.739999999998,1620081.4231578948,667091.44,361488.56
Asia Pacific,61,13,120,0,7795.02,6573.822307692308,9298.85,2966.81
Asia Pacific,62,11,16,13.31,5697.5599999999995,109966.45909090909,30778.539999999997,31478.7
Asia Pacific,63,1,1,0,228.26,153779.3,35144.56,226.22
Asia Pacific,73,190,69772,164047.21,132247.8,14720.11335106383,2647949.56,295909.85
Asia Pacific,87,6,10,80.17,267.32,1635.015,8289.16,680.12
Asia Pacific,99,32,23587,6944.75,51322.28,16137.883125,588035.76,80830.9
Europe,10,11,32,1144,76208,87231.72636363636,425540,130622
Europe,12,1,1,0,1875,61311,152236,4391
Europe,13,161,2453,5452.38,80345.17,7674.080314465409,566640.2,134950.12
Europe,15,2,3,42.95,792.41,12642.87,35882.86,1404.9099999999999
Europe,16,54,432,524.69,4012.96,3041.8288888888887,195122.91,14519.49
Europe,17,1,1,1.1,1.07,32.02,13.79,1.52
Europe,20,122,2265,35218.17,153606.61,34231.68483606557,2956342.12,543625.26
Europe,21,16,27,1451.29,11038.18,33474.8925,362915.86,89119.44
Europe,23,8,31,0,1052.6100000000001,2844.60625,16590.14,2783.83
Europe,25,30,311,422.46,1698.01,1740.6556666666665,54944.58,7111.06
Europe,26,62,594,2765.17,27045.19,11236.627903225806,530140.88,70401.4
Europe,27,57,286,4327.4800000000005,9476.46,4334.941403508772,168133.43,36878.87
Europe,28,1374,83533,1005644.18,662383.7,13097.665298398835,13752690.71,2626580.33
Europe,29,128,2562,52292.93,1111323.4,104231.22828125,13148302.8,2198350.01
Europe,30,77,1833,17455.98,48091.87,12018.696233766233,888292.73,113702.61
Europe,31,26,109,139.75,746.49,1246.5368181818183,26286.82,3452.9
Europe,32,41,268,553.07,9848.32,7451.6614634146345,152741.17,27196.21
Europe,33,136,1480,13754.19,105077.12,17463.461185185184,1932397.53,234607.54
Europe,34,57,671,2916.78,10531.46,4825.73350877193,231974.66,35905.46
Europe,35,605,24455,84569.91,96251.73,4599.21747107438,2920821.35,336735.2
Europe,36,501,81574,386475.72,192339.24,11600.732515212982,4684513.31,599959.19
Europe,37,548,36169,815401.37,1380665.07,45260.78155555556,18515315.51,1821071.98
Europe,38,586,54761,163904.39,114690.07,5719.039623931624,2521743.12,399991.91
Europe,42,11,51,174.57,24330.53,124408.2809090909,795746.17,48375.43
Europe,44,12,19,0,35015.48,28893.290833333333,271867.58,67925.74
Europe,45,9,10,0,15419.28,21280.161111111112,154643.92,17242.77
Europe,47,3,3,0,406.82,2061.3333333333335,11032.5,857.25
Europe,48,225,6648,62794.72,887314.75,69226.28346666666,6448927.27,2109876.35
Europe,49,42,62,713.07,129056.09,82153.27952380953,1599922.9,298604.64
Europe,50,13,72,770.03,954.17,1182.4858333333334,17044.21,2463.52
Europe,51,18,66,460.9,7048.2699999999995,5533.9638888888885,206113.61000000002,12335.52
Europe,52,28,1449,9866.91,42451.92,38172.90142857143,971729.52,121305.39
Europe,53,2,2,0,512.84,8751.705,22865.33,2894.1000000000004
Europe,59,8,266,178.01,126.37,567.66875,5150.86,683.5799999999999
Europe,60,25,44,0,33303.72,1813898.0588,1456344.48,494246.89
Europe,61,2,4,0,494.93,905918.3,65589.02,12543.46
Europe,62,32,137,15.36,12779.36,475083.8703125,614517.01,351545.5
Europe,63,4,4,0,0,123012.4425,22601.09,5292.56
Europe,64,3,4,0,707,28879.333333333332,35487,7714.5
Europe,67,21,1077,2969.46,323.25,1241.280476190476,10628.47,4290.01
Europe,70,6,8,0,649.76,3405.153333333333,12396.91,4550.12
Europe,73,122,5430,49006.08,12760.78,5028.941260504202,413794.86,107837.78
Europe,78,21,4496,5941.98,5736.75,6798.801428571429,142672.46,13035.289999999999
Europe,79,18,2734,1113.17,3664.84,6449.160625,39188.43,12310.37
Europe,80,17,510,1428.49,9394.28,15333.338823529411,176489.78,34027.08
Europe,81,1,1,0,0,1078.7,1207.13,198
Europe,87,65,2032,7929.84,6962.58,5352.5003125,441733.65,66843.45
