region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,8651,1068846,2534448.511527914,6213923.849918445,15375.099467116252,87970520.77435936,11106298.983566236
Europe,5580,361553,2963935.830825798,5427224.490700742,30768.650458461914,81492840.60213757,13566947.94269572
North America,44900,1311038,5128234.677892446,10740887.979637664,9579.519612453363,170198595.7836238,32347013.31549992
Other,764,4102,57629.842899841,615294.6614685933,8099.709174679415,2917287.585100648,812547.3957106195
