region,sic_2d,year,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,10,1993,1,2,55.999996,2080,20472,12218,2712
Asia Pacific,10,1994,1,4,83,2521,21776,12754,2986
Asia Pacific,10,1995,1,1,151.62001,3359.5801,28113.54,15260.951,2871.2041
Asia Pacific,10,1996,1,1,149,3625.0002,28029,15982.999,2060
Asia Pacific,10,1997,1,1,113,2813,23213,13264,-981
Asia Pacific,10,1999,1,6,0,0,NaN,0,0
Asia Pacific,10,2000,1,3,56,881,17521,12841,1521
Asia Pacific,10,2001,1,4,18,1267,14885,10578,1919
Asia Pacific,10,2002,1,7,26.000002,2749,29862,16029,3596
Asia Pacific,10,2003,1,1,40,2919,28877,15755,4025
Asia Pacific,10,2004,1,3,19,3043,31179,23118,6034
Asia Pacific,10,2005,1,5,33,4364,42110,29919,9356
Asia Pacific,10,2006,1,3,76,6005,48516,32735.002,12632
Asia Pacific,10,2007,1,7,169,7158,58168,39940,16314
Asia Pacific,10,2008,1,8,244,8908,75889,59932,27705
Asia Pacific,10,2009,1,8,156,10735,78770,50535,17066
Asia Pacific,10,2010,2,9,65,10722.963501,46162.59,54214.1458,25511.60565
Asia Pacific,10,2011,1,6,74,12387,102891,72065,36853
Asia Pacific,10,2012,1,6,75,20837,129272.99,72556,33407
Asia Pacific,10,2013,2,5,64,22899,69054.52,66604,27045.3749999
Asia Pacific,10,2014,1,6,43,17003,151413,67927,30350
Asia Pacific,10,2015,1,2,0,0,0,0,-0.12
Asia Pacific,10,2016,2,2,0,7711,59476.5,31356,4572.949000001
Asia Pacific,13,1989,1,60,0,0,2315.21,442.73071,331.06082
Asia Pacific,13,1990,1,35,0,0,2284.67,547.16498,358.29858
Asia Pacific,13,1991,1,51,0,148.063,2110.32,508.80701,143.20399
Asia Pacific,13,1992,1,41,0,133.11501,1955.8,492.42798,337.74701
Asia Pacific,13,1993,1,47,0,194.537,1920.4,490.61398,181.17401
Asia Pacific,13,1994,1,43,0,200.33701,2246.2,523.87,321.98199
Asia Pacific,13,1995,1,44,0,145.66701,2166.8,522.69299,340.237
Asia Pacific,13,1996,1,85,0,282.806,2735.44,604.14099,400.298
Asia Pacific,13,1997,1,57,0,447.97101,2629.58,523.15503,346.98898
Asia Pacific,13,1998,1,20,0,338.78598,2593.76,482.67599,299.72098
Asia Pacific,13,1999,1,10,0,291.54202,3004.55,654.06598,433.78201
Asia Pacific,13,2006,1,1,0,30.654253,864.19,1787.6533,270.4982
Asia Pacific,13,2008,1,2,0,3352.4585,10429.02,4184.4604,3070.9329
Asia Pacific,13,2009,1,1,0,119.02492,2844.23,4685.5552,524.85785
Asia Pacific,13,2010,2,3,0,2198.9871959999996,7229.85,9004.0733,3792.81957
Asia Pacific,13,2011,2,3,0,3629.507168,13413.06,10803.699700000001,3316.49548
Asia Pacific,13,2012,1,1,0,2805.793,19637.02,6840.2397,4672.5269
Asia Pacific,13,2013,4,6,0,7202.674038,17099.59,24557.4004,10988.01943
Asia Pacific,13,2014,1,1,0,2757.5701,18262.57,3329.6799,511.63
Asia Pacific,13,2015,2,2,0,1530.400563,10024.93,9122.9785,-991.24573
Asia Pacific,13,2016,1,1,0,1608,24753,4075,2633.0002
Asia Pacific,14,2001,1,1,0.10060594,101.30867,1437.36,841.11401,140.41187
Asia Pacific,14,2003,1,1,0.96378231,187.27692,2286.21,2231.085,303.81613
Asia Pacific,14,2007,1,1,0,635.81439,12532.07,5301.8506,974.61578
Asia Pacific,14,2009,1,1,0,1732.8153,17871.53,6502.7061,934.7337
Asia Pacific,15,1987,1,1,0,0,13403.16,9945.9922,323.06641
Asia Pacific,15,1988,1,2,0,0,14772.35,11414.126,402.91611
Asia Pacific,15,1989,1,2,66.224098,0,14240.55,10611.832,435.51196
Asia Pacific,15,1990,2,4,236.828269,0,13079.54,19037.7768,1116.26074
Asia Pacific,15,1991,1,3,105.57249,0,23477.39,15241.191,959.86676
Asia Pacific,15,1992,2,3,380.35196,0,18631.18,28399.9426,1513.0449600000002
Asia Pacific,15,1993,2,6,430.95372,0,20365.31,31470.463600000003,1455.4165400000002
Asia Pacific,15,1994,1,3,326.1225,0,9906.96,11839.889,703.46027
Asia Pacific,15,1995,1,5,275.26199,0,8500.73,10065.64,893.47321
Asia Pacific,15,1996,2,11,257.41046,0,8491.47,19147.6143,1632.37158
Asia Pacific,15,1997,2,7,321.369747,0,14405.38,21826.2967,1058.35669
Asia Pacific,15,1998,3,7,241.33235,0,12939.02,30205.884100000003,1466.32568
Asia Pacific,15,1999,2,9,371.003631,583.37624,15470.89,25362.8926,1152.3225699999998
Asia Pacific,15,2000,2,4,278.018029,475.93434,12441.2,21258.907900000002,991.36097
Asia Pacific,15,2001,2,7,245.444516,363.073802,10436.32,19008.785,826.02304
Asia Pacific,15,2002,2,13,280.95063400000004,340.56768,11150.7,20611.7054,882.7118499999999
Asia Pacific,15,2003,2,17,319.141429,325.23783000000003,12139.51,23243.1304,1178.59946
Asia Pacific,15,2004,2,13,298.849865,352.85563,11985.27,23977.608099999998,1150.98523
