region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
Asia Pacific,8552,1064393,2509844.12,6182014.68,15454.443915592028,87044793.99,11034189.65
Europe,5350,352927,2898848.02,5414278.04,31799.974768535943,80542623.99,13427883.62
North America,44765,1309898,5123946.35,10737354.46,9602.533607998543,170234905.74,32314992.92
Other,710,4003,57326.63,595214.66,8458.832771428572,2830745.66,781245.63
