year,sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,10,1,8,0,234.57092,1375.4847,1207.5382,312.90073
1980,13,16,408,725.05098923,10111.0610691,4051.35092574375,87713.6956994,18601.564884800002
1980,14,2,4,3.2509999,433.51099899999997,1301.540485,1844.1149799999998,597.213
1980,16,3,25,10,247.48300139999998,920.46833,6711.88509,357.161999
1980,17,1,1,0.222,0.061000001,1.049,0.80299997,-0.156
1980,20,16,90,265.15799989,2587.209854,1923.83355875,56063.30609,6004.730353
1980,21,1,19,0,780,7366.3911,7328.2969,1361.797
1980,22,5,14,7.482,235.3449999,491.03222040000003,3474.90688,343.07201088
1980,23,4,14,1.20200001,128.20899979,419.75524724999997,3310.87401,461.41200910000003
1980,24,4,27,59.3670001,810.29901002,1424.9335027500001,5235.213012,1019.6979889
1980,25,5,39,11.6650001,89.884002,197.47539799999998,1596.38503,213.184999
1980,26,14,381,449.764147,3493.900146998,1954.4605514285715,31701.527910200002,4711.80414701
1980,27,3,13,4.12899992,150.6240006,340.12433666666664,1510.1841,214.983003
1980,28,62,3454,4017.288985351,10413.7930554,1783.2950969096773,145566.3832909,20158.09894066
1980,29,14,1005,1473.2496772,28705.77123,17715.936702857143,391486.736919,57102.4577079
1980,30,10,131,220.62199992,397.62220508,794.8915021,12354.560937999999,1103.2160498
1980,31,1,1,0,4.6830001,128.94,253.317,27.915001
1980,32,8,199,130.98399899,826.554998,1246.548625,12182.535909,1406.8040128999999
1980,33,21,182,310.30699879,3851.2370115,2240.6673564,48746.343959,5249.4009722
1980,34,29,203,133.58741931,865.154113118,416.6985931065517,18314.320757999,2112.15647951
1980,35,82,2418,4304.463038918,8880.522046729,1314.5894408506329,119437.6609854,17332.28885326
1980,36,81,2109,3100.908394802,6237.176474508,860.23612080625,84991.9314828,10572.35456174
1980,37,41,1517,6697.494016101,17354.06713429,3193.1497872439027,193497.112923,12350.0620658
1980,38,64,1608,1355.701005278,3697.4210015959998,693.6961569921875,51234.508021400005,6137.7290006588
1980,39,5,38,26.4059989,33.6530007,182.9687974,1448.9710010000001,96.95400000000001
1980,48,5,595,766.9169899999999,20271.12,30872.0200198,73288.835299,23934.1338798
1980,49,5,14,0.050000001,12770.03718,16189.2756,22789.5460998,6883.28797
1980,50,6,69,3.14500011,563.74299962,4529.721161500001,75828.459999,849.4920102
1980,53,1,6,0,368.29999,28053.707,25194.805,2067.301
1980,55,1,1,0,5.1020002,84.711998,162.159,9.3319998
1980,56,1,2,0,23.315001,326.414,834.68298,29.823999
1980,58,1,1,0,35.049999,203.946,386.48001,73.001999
1980,60,1,3,0,0,114920,14197.004,1701
1980,65,2,2,0.021,0.18000001,2.77949995,8.793999698,0.65299997
1980,67,2,2,0,13.637241,181.3327,58.413391,21.195351
1980,72,1,2,0,30.385,367.99799,795.72302,98.789001
1980,73,10,615,2108.7340099,7896.52898,4376.466088588889,37577.759808,10233.325829899999
1980,87,4,17,0.071000002,39.6090012,107.929502525,455.702001,69.86800000000001
1980,99,5,851,983.27779999,2671.33512999,4944.58067994,32216.7406998,4326.507480002
1981,10,1,8,0,281.28043,1709.4557,1194.4501,203.8568
1981,12,1,1,0.30000001,0.058999997,37.636997,10.372,-1.64
1981,13,20,497,947.55500389,15200.700909,4132.902823955,107544.90318597,20368.90386139
1981,14,1,4,5.1409998,77.949997,675.49799,783.28998,171.603
1981,16,2,15,12.4,468.40901,2693.218955,7747.4612,525.4589980000001
1981,20,13,125,265.6059989,2640.9289712,2224.8973750769233,52883.153697,5806.4829098
1981,21,1,21,0,1049,9245.2891,8306.5898,1491.299
1981,22,5,15,16.653,263.6709996,663.3847499999999,3946.9509900000003,407.8929911
1981,23,1,5,0,109.043,1604.674,2851.2439,390.039
1981,24,3,26,62.8219989,808.5729978,2054.046697,5244.56388,786.208019
1981,25,8,34,22.52200061,87.1509987,164.653002625,2298.911996,249.5360018
1981,26,18,425,449.84264201,3660.6014534,1689.4103612222223,34944.769971,4566.6593981
1981,27,4,7,1.204,32.146999,208.6823334,763.7989699999999,102.53800290000001
1981,28,68,3774,4782.836283949,11833.61010822,1986.9319884352942,166561.3522265,22795.07886145
1981,29,12,1108,1966.0259494,37993.237142,22573.40234,423121.81581,51134.033891
1981,30,11,123,264.06600048,436.05098871,719.2903618181819,13241.147544,1396.9580069
1981,31,2,2,1.1,17.2490001,110.2640015,440.21299999999997,39.03
1981,32,7,209,110.76499799,662.614023,1100.6215571714285,10152.7930791,1036.422002
1981,33,21,166,339.92474011,4248.1672989,2383.967460904286,50664.796769,5159.6220586
1981,34,29,214,152.64492772,915.2484151797,434.4920339234483,18835.06311701,2318.15062757
1981,35,74,2818,4840.315042188,9275.35888432,1474.140609175,118783.83958480001,17639.83402092
1981,36,73,2247,3624.793000888,7200.44997881,1068.6537632644445,93336.13927442,11512.54409055
1981,37,41,1557,7118.6970784000005,16981.52450508,3034.0934557268292,194308.4009711,13741.98382731
1981,38,65,1856,2968.7629842904,4155.4859951299995,729.54491124,56901.30470021,6786.253986688
1981,39,7,46,60.573999,132.8130013,430.43800414285715,4780.921899,501.8669933
1981,48,6,633,952.20001,28191.321100020003,34922.22621665,99193.164001,34804.294
1981,49,5,18,0.020000001,11537.028270001,16285.64044,21246.786899799998,6953.292009997001
1981,50,7,84,4.2540001,383.2129989,3966.8785000000003,67817.76688,854.417998
1981,53,2,2,0,555.89999,20362.6485,39628.297,3315.699
1981,55,1,1,0,3.7720001,82.826004,170.94099,8.1360006
