year,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,538,16088,27170.518469713,145258.15579585,2641.2862924625047,1571008.219396367,218146.5152897908
1981,537,17832,32372.4994786474,170689.6882630037,2762.590433043522,1693723.3842844102,233418.863041785
1982,547,16299,36271.6534220576,163708.398271431,2843.2485435157673,1674446.51139181,224959.566795043
1983,566,16579,39932.3550502842,143671.5974984031,3239.1944368274194,1787384.211146332,259386.244323092
1984,638,20163,48634.291712867,147311.8726903,2788.2093477035255,1868480.9830920584,272731.961407235
1985,650,21653,52358.440196257,224361.3769356602,2963.5125294307336,1984013.3876665672,290680.117843412
1986,694,20132,60670.776645298,164707.4585194428,3126.1320009950364,2058257.82539052,294564.743246227
1987,917,29068,78907.332608773,165291.4070235435,3330.2919281375193,2946984.443484331,366277.0309624856
1988,959,27882,85683.4188941334,193389.387846342,4017.9892810857873,3272601.02530195,444645.8348866035
1989,1078,37938,109661.9739026382,222032.8243349896,4388.148977693416,3899239.570283554,533442.4218481531
1990,1090,36398,132551.638415983,255903.4887875346,4594.92789893216,4419783.91634577,562087.7003856061
1991,1160,39718,137332.919924253,263509.7353457691,4883.153308906318,4619946.612147481,543782.7967358956
1992,1268,41810,149373.3854872858,248382.6520697354,4495.921964759039,4773720.745237792,534938.340802627
1993,1339,44135,152298.6872184914,266175.30223423016,5052.546936121705,5181690.815611478,586996.4014474978
1994,1485,46225,171653.0392829582,333934.0615696381,5156.061500183459,6044848.88048335,758846.7354510812
1995,1612,46740,188072.4931219674,382308.1923510897,4792.7797001213885,6315693.084166057,902036.8191114207
1996,1784,52209,199914.191334891,451586.9533188667,4484.0347694568,6532591.903218853,954587.484931666
1997,1853,54329,214606.4069750493,480934.5962732447,4503.325746465644,6654957.891415453,1028533.52856778
1998,2108,73568,255413.67874003501,532106.8086908602,5068.327512896271,7255324.406614996,1156200.208193386
1999,2160,77874,285899.5673331662,646913.7843241761,6266.291156950497,8144416.865672942,1399576.653119963
2000,2286,81522,303816.114845954,731226.4831528685,7291.137080107309,9317756.21574168,1657775.0192754446
2001,2315,88446,322392.2085985911,682411.8713409085,6832.462993076144,9304716.052661277,1427383.4885227925
2002,2280,92046,333826.7159152548,673096.9411988296,7859.588213197073,9799364.00108093,1603453.9399264979
2003,2294,94737,366964.576340792,671037.6717163251,9726.575133662061,10978391.686238406,1841387.5419981782
2004,2226,94808,394921.4899214654,817198.7908769851,10707.407760341597,12643439.242343957,2213450.0378503846
2005,2106,83383,383887.5872423454,807973.0745251658,11508.98475246096,12562188.982898183,2222889.586338135
2006,2160,102619,443636.632882236,989959.8541973777,14756.317403924026,14721120.77841688,2741642.218293683
2007,2090,92895,502753.293439051,1092543.8418387873,17941.620590497158,16564931.740050225,3171708.0706042754
2008,1999,95217,514586.812414429,1119136.510370928,18427.373515183233,16757346.130353993,2568021.43003745
2009,2017,102282,485528.303102556,985254.1012935704,21186.113202341636,15447973.078354323,2406224.138996794
2010,2090,131311,534943.5140116992,1078072.354692628,24601.09936402313,17747662.790029615,3367875.676114207
2011,2135,133765,573354.556433727,1223649.3004161834,23674.173695518253,19366306.208596256,3557422.3898375058
2012,2216,149433,589824.7959757322,1352273.767871585,23533.44705523353,19807868.602244344,3545179.167367455
2013,2269,161539,604421.810166957,1385920.7570581497,24069.782802393755,19981115.145919975,3686415.559203445
2014,2237,172966,606362.709488739,1344273.5608226112,25401.08368086492,19466108.62039806,3609842.194321958
2015,2159,166639,623674.985958549,1260104.9845464318,23416.824302289766,17923517.516082447,3327106.9261021405
2016,2033,165291,640573.4881931717,1181019.3736619984,25780.92045228956,17490323.271458767,3319190.284291399
