sic,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
100,110,6301,21460.08,14447.98,3346.200373831776,265081.58,54651.03
200,1,1,2.14,5.73,10.31,18.26,-30.32
1000,113,501,12952.4,387744.64,35486.528738738736,1816900.84,648113.19
1040,55,90,0,35161.59,7270.715636363637,131536.74,45955.6
1044,7,14,0,762.28,2207.2985714285714,3934.3,-1391.22
1090,13,16,16.669999999999998,997.7,1361.2176923076922,5152.34,983.31
1220,7,7,0,3508.75,11754.81,164363.63,7718.8
1221,8,8,97.18,454.08000000000004,1039.1675,7954.99,1077.41
1311,382,7403,10430.17,712745.4,16415.50283068783,4634627.61,966702.97
1381,194,7126,8512.12,106605.12,6526.676943005182,636713.38,160806.56
1382,121,1610,3538.64,23706.04,2451.0067226890756,226840.15,41800.38
1389,260,15612,33124.28,129096.81999999999,7060.996821705427,1391850.85,274440.58
1400,70,309,274.1,8266.75,1598.4610294117647,72573.36,14339.07
1520,41,381,6584.69,6718.72,6910.305641025641,300812.32,22328.82
1531,10,20,0,48.14,2242.808,22958.63,-3610.28
1540,27,48,1878.43,1404.45,15711.973333333333,341320.84,14392.380000000001
1600,107,704,515.39,12565.28,3119.386728971963,638820.03,35230.33
1623,26,168,57.9,1254.14,2569.8246153846153,103210.19,4579.77
1700,17,20,3.27,67.23,98.4764705882353,2013.57,121.74
1731,10,12,0,612.03,1791.202,18870.21,1917.98
2000,132,2736,41748.99,142576.74,29798.545454545456,3513771.89,505426.06
2011,64,369,819.63,14804.93,5346.7334375,706221.66,46199.45
2013,1,1,0,1.14,3.18,2.26,-0.39
2015,25,284,0,808.1899999999999,408.31,20283.75,1604.31
2020,13,67,794,1955.81,3002.4223076923076,45457.71,9485.07
2024,1,1,0,11.39,142.28,152.47,20.56
2030,112,2189,6590.03,26409.46,8117.543181818181,680773.01,101668.9
2033,38,66,214.5,1297.1000000000001,1378.4563157894736,37778.729999999996,5976.1
2040,144,980,9805.5,46787.95,7348.1620567375885,1397845.74,162213.94
2050,2,3,0,46.19,175.255,508.76,77.87
2060,112,824,3627.89,18148.25,3348.900267857143,430868.77,59954.29
2070,33,518,1052.4,21978.93,17887.592424242423,1025301.69,54013.96
2080,52,540,7709.15,61787.38,20872.536730769232,1106208.57,213061.98
2082,76,204,6512.51,63298.77,24711.04855263158,879478.58,218409.28
2084,15,25,0,847.26,3458.6253333333334,38369.4,6401.59
2085,43,85,1018.27,8837.33,8502.049302325582,210434.25,51598.01
2086,64,889,167.78,46074.35,18848.533174603173,831133.6,221710.01
2090,47,66,731.1999999999999,2233.68,1356.6036363636363,64783.43,9320.36
2100,2,2,11.12,123.48,1605.5149999999999,3115.2200000000003,1063.54
2111,113,1958,26987.35,80318.41,32230.357522123893,2990868.4,671902.05
2200,105,1109,3481.62,7508.86,2027.4106796116505,196547.72,17950.49
2211,64,436,1933.52,4119.74,1927.7275,105889.48,8170.29
2221,40,377,750.17,1717.93,810.4231578947368,24161.11,4266.7
2250,28,57,184.91,726.41,328.9011538461538,10817.58,1209.76
2253,11,13,0,380.65,470.0781818181818,6039.49,928
2273,40,109,166.5,3404.64,1740.846,75355.42,9465.36
2300,57,151,47.24,4463.39,1912.1380357142857,151918.98,18699.55
2320,19,26,11.2,1890.31,2947.2263157894736,62472.12,9567.18
2330,16,42,0,1063.06,1470.91,17412.85,2849.9700000000003
2340,36,60,167.32,953.02,1604.6454285714285,43753.43,3726.55
2390,17,51,22.9,935.9499999999999,961.7270588235294,16088.15,1524.46
2400,89,932,1982.91,27870.89,6812.053908045977,409051.27,60810.81
2421,20,25,0,2001.8899999999999,1333.275,29501.87,3381.87
2430,14,36,4.37,150.7,350.88142857142856,6690.31,663.1700000000001
2451,8,8,0,73.05,380.265,4257.9800000000005,-48.93
2452,14,22,36.519999999999996,77.74000000000001,202.45357142857142,7537.17,333.29
2510,113,787,705.86,4552.84,1008.3538053097345,163043.46,18621.81
2511,29,263,256.43,634.64,1031.6396551724138,34376.23,3005.57
2520,72,424,1429.82,2622.8,550.5375,74487.54,7615.84
2522,70,719,1363.48,2735.7400000000002,900.5574285714285,85697.21,8327.35
2531,73,2237,5387.71,8959.97,2986.8439726027395,350177.66,28740.04
2540,31,71,57.33,288.65,191.33806451612904,9157.55,1055.34
2590,76,1460,1906.7,4212.37,1755.4575,107697.31,16467.66
2600,26,194,61,19543,12762.576923076924,336104,43712
2611,24,43,3.7,3943.74,2117.315833333333,34632.31,5179.05
2621,249,7100,13153.8,91957.74,6917.194257028113,1445644.65,217296.98
2631,146,2417,4273.66,66699.07,9410.055753424658,1048400.14,142408.3
2650,108,638,624.14,12503.9,2223.181111111111,242247.25,35599.58
2670,311,17650,44331.22,62693.43,3623.9512418300656,1183171.01,223825.8
2673,22,35,4.37,20.74,31.257368421052632,854.46,24.77
2711,6,8,0,227.39000000000001,2373.5533333333333,9876.19,1427.23
2721,9,11,0,214.09,4063.6462500000002,16831.89,5216.48
2731,50,178,4519.49,9143.75,4681.24829787234,142790.41,29809.34
2750,166,3292,10208.54,42327.89,6078.366036585366,983824.88,105922.14
2761,48,303,248.14,1598.87,534.3547916666666,37095.02,4286.2300000000005
2771,27,80,0,1592.17,1661.502962962963,44512.07,5701.22
2780,31,209,279.34000000000003,1224.22,1180.3196774193548,39690.85,6459.16
2790,32,66,66.16,542.73,617.7415625,16881.32,2718.62
2800,697,52737,271616.83,291277.53,9890.133338129497,6299595.75,850703.79
2810,488,13617,24313.65,157950.53,4717.268251028807,1588117.09,313496.03
2820,402,25455,94940.4,178605.63,8215.496541353383,2849995.63,384259.77
