year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,1,32,170,298.33199892,3765.72685479,1352.450065875,71802.710881,8318.23037488
1980,10,47,1896,1889.377998009,3933.699039167,1147.276185919149,58399.3523603,8702.520943967
1980,11,5,7,0.021,13.81724101,28776.722924975,14264.211390698001,1722.84835097
1980,12,22,935,1056.238799993,4437.126061611,1709.895549140909,47701.87498257,6686.471197902
1980,2,38,1164,4731.567995081,14142.42610551,2601.3324241052633,145739.199883,7940.909027799999
1980,3,184,4249,6753.308577008,20813.113525225,1333.764766208232,302850.498278099,34481.14181808
1980,4,30,1413,2198.30066643,38816.8322991,10428.15762173,479200.4326184,75704.0225927
1980,5,39,2087,2338.73298905,8302.34602729,2080.638082751282,111562.3349399,14008.57899568
1980,6,121,3478,7134.576455112,16966.039472327,1074.9022028432203,140214.7776544,26638.1601290118
1980,7,5,595,766.9169899999999,20271.12,30872.0200198,73288.835299,23934.1338798
1980,8,4,13,0,12770.01418,20233.178,22781.6811,6881.75797
1980,9,11,81,3.14500011,1025.89498982,5110.463996090909,103202.310009,3127.740009
1981,1,27,201,310.959998,4141.31097,1695.0255383846154,70617.374365,8405.025905
1981,10,53,2095,3481.6619867494,4620.874009109,1105.4415681264152,63998.19669369,9758.481925737
1981,11,4,4,0.049,186.54000002,6277.618500050025,7218.5309995002,1952.873
1981,12,17,1057,1199.491808701,4496.081224719,2502.095104594118,51328.10198081,6765.397705007
1981,2,45,1189,5025.341091149,14098.422510870001,2181.6979162686366,152657.68590912002,10368.34481544
1981,3,186,4724,7410.601348468,22011.5081528997,1372.6188023338918,310674.21654501,35031.92014827
1981,4,33,1606,2913.8809533,53193.997050997,10714.440047154545,530677.0909959701,71501.29775239
1981,5,42,2276,2741.98029507,9214.58212039,2400.496762945238,128369.9344189,15801.21093341
1981,6,108,3941,8332.07898711,18019.352864979,1285.0911340360378,149077.63864541,27769.945848930998
1981,7,6,633,952.20001,28191.321100020003,34922.22621665,99193.164001,34804.294
1981,8,4,17,0,11536.98527,20353.89955,21239.6069,6953.19401
1981,9,12,89,4.2540001,978.712989,5921.379454909091,108671.84283,4306.8769976
1982,1,24,193,403.815996203,3964.914353,1887.120206625,69076.806574,8647.22847709
1982,10,50,1705,3757.544996216,4230.813977229,1179.1453853014286,61568.2718084,9922.44905766
1982,11,2,2,0.003,0,37.443497,11.662,9.649
1982,12,18,929,1238.54991059,3501.471139873,2342.316365491111,44460.07432159,5824.34929458
1982,2,45,1290,4978.76780036,12821.64112564,2717.3833894068184,170367.95340210001,13038.60632614
1982,3,189,4368,8075.3175727496,19102.889248356,1353.9422142612766,287816.35615052,26156.173101602
1982,4,31,1390,3108.4140144899998,49339.927915008004,11844.732530293333,469575.5312325,62213.76461019
1982,5,42,1975,3586.873385,11142.107376,2841.822871214286,149941.237464,17410.4483358
1982,6,119,3805,9971.459766449,18965.608806135,1266.6023222589745,162799.7435303,30206.061746051
1982,7,5,523,1142.59998,27054.842299999997,44834.6762,108817.4913,37161.74821
1982,8,5,7,0,12214.971,20211.5434,30667.1135,9432.43085
1982,9,17,112,8.307,1369.21103019,4156.691765370588,119344.2701084,4936.65778593
1983,1,30,222,419.11199601,4195.6725984800005,1846.9795042,86063.629994,10954.7284244
1983,10,60,1487,4242.1680452499995,4267.740949355,1105.9818827844829,66971.589002892,11401.291027841
1983,11,2,2,0,320.70001,71550.5,24948.9019,3936.6021
1983,12,19,832,1535.8401888,3588.82270789,2718.0566621722223,55120.9196714,7252.38454098
1983,2,48,1359,5653.8147047096,9364.54647429,2877.295875375,210432.4186393,21842.269198721002
1983,3,187,4389,8676.7669866106,17096.2590614011,1419.4853839190218,297432.3494144,29371.42784496
1983,4,31,1700,3207.9280161,41591.289121,12701.763248033334,455515.76912,70048.19164
1983,5,44,2068,4008.5551558,9467.125839,2907.8348308636364,157694.32851,19675.9687153
1983,6,116,3869,10807.242946914,16366.745054055,1387.1116188147826,168911.52610524002,30637.41091978
1983,7,6,533,1373.20001,24302.875900000003,38658.81166666667,116312.4167,37386.61779001
1983,8,7,16,0,12118.26079,17209.136657142855,33116.1511,12145.14812
1983,9,16,102,7.72700009,991.558992932,4728.77100508125,114864.2109891,4734.2040011
1984,1,26,205,402.678999,3545.9474368,1850.3295983076923,73059.797021,9906.9937436
1984,10,67,1803,4713.217084772,4492.552956148,1020.9013280893939,70300.1839924585,12649.99401749
1984,11,4,4,2.093999987,77.052999989,15463.957750025002,12896.04900002,2835.50189998
1984,12,25,1000,1735.14590882,5892.9372642200005,2696.484523482609,66783.7082958,9184.576525
1984,2,46,1560,6399.79963983,13398.794081499,3379.0669140933333,237076.0717741,27454.54137391
1984,3,210,5328,9747.521906188,20531.812338589,1378.080447520098,331467.5350201,37712.503359663
1984,4,31,1923,3295.382984,41980.65440203,12899.322600326666,432980.86239,70906.26308021
1984,5,51,2480,4317.4637493,9783.478072797,2563.0845556,167098.491762,22114.37260698
1984,6,149,4857,14922.03952087,21937.524329928,1339.7473432163265,213654.36319658,38385.291427292
1984,7,7,888,3096.09892,11775.9025899,16118.344000000001,100169.6391,17834.3144
1984,8,11,30,0,12648.527170000001,14300.236836363636,48193.76753,18246.67042
1984,9,11,85,2.8490001,1246.6890484,7735.036349636363,114800.51401,5500.93855311
1985,1,32,249,463.905999109,5052.858893279,2387.9353643746877,98652.95666699,13393.08591911
1985,10,78,1951,5202.523976198,5016.3209899044,975.135423009359,74209.638019238,12996.77505228
1985,11,5,8,4.83800009,415.68100999,4144.60949998,4190.37816009993,1343.86399988
1985,12,32,1015,1902.666809521,3914.6861772224,1848.5343674041292,55360.8638914794,6924.311355062
1985,2,44,1742,7965.60665483,20179.9836355,4569.816655932558,274134.0683075,30800.07827852
1985,3,195,5809,11175.976294648,25313.406310588,1673.5848579226315,362748.4953627,39812.9027488
1985,4,26,1917,3431.881021,42112.11899804,15530.961080396,435122.86341009,76537.10954171
1985,5,51,2517,4848.91137489,11330.3447594004,2766.9892666470587,168720.05760801001,21887.147921
1985,6,157,5372,15807.546065941,23422.724279211,1450.282572468366,229841.67849946002,37338.5199337
1985,7,6,945,1553,74192.1066,23951.86485,79649.2712,27081.67439
1985,8,11,29,0,12219.433019,13464.894861818182,48246.56357,17206.393070000002
1985,9,13,99,1.5840000300000001,1191.712263525,7894.3770189,153136.552971,5358.25563335
1986,1,36,252,692.0379996,8733.46884298,3323.396000691667,152804.272256,22558.6172538
1986,10,88,2024,6899.068010103,6617.6131787377,1123.0262765714772,96723.89169885,16422.221958348
1986,11,9,12,4.786000098,123.880999049,2508.213034733333,3730.6890293,1199.136998193
1986,12,26,937,2287.13403,4985.20789663,2702.412242984,72591.41968201101,8635.28274982
1986,2,51,1598,10155.91733585,27285.304645430002,4938.8035961498035,339245.47717,35138.05582396
1986,3,203,5138,12830.190886108,23425.525922473,1810.547257771,383434.6164821,39874.688728039
1986,4,24,1422,2926.371987,27146.75802697,14895.791135804167,293699.1089201,48873.93107192
1986,5,51,2249,5168.70699378,10647.4691182991,2853.386643620196,158673.89368501,23360.1911539
1986,6,170,5369,17740.242085859,19526.574269485,1493.927423748639,243550.115164309,34209.565603515
1986,7,9,990,1957.653317,20649.06359805,21255.844333333334,103174.156901,37740.16111
1986,8,10,38,0,14446.640007,17487.275834,52616.78042,20744.389912
1986,9,17,103,8.6679999,1119.952014339,6449.583761170588,158013.40398184,5808.500882732
1987,NA,1,1,0,0,304.12122,155.82065,18.75194
1987,1,53,322,800.43900791,6693.47205794,2500.414004530189,161329.7373823,21865.73322123
1987,10,116,2668,9325.397895777,8252.8108338817,1215.0512817042104,126368.964890221,21135.4755981256
1987,11,8,9,21.706,83.39900230800001,2152.95975015125,3615.09399777,1318.61690004
1987,12,31,1039,2257.964999388,4843.0891917232,2965.6172938764516,86077.99263592,10385.43577452
1987,2,76,3437,12196.979572214,23473.2064088788,5315.984305186534,484790.942417,41388.93437849
1987,3,270,7222,17710.846517425998,24581.132763951002,2538.2892667873134,645786.6675176,65096.47170112
1987,4,27,1406,2602.440994,24676.5799832988,14076.520944263077,329586.43507089,48255.399511
1987,5,77,2981,7262.73930061,11857.989774399,3108.21846075,251099.17719002,32807.28159489
1987,6,214,7906,21785.62134054,20542.098281133,1655.5587802565876,329767.37325361,44799.04635477
1987,7,14,1317,4901.18798,31261.7326079,20870.924464928572,179768.380598,56923.99018
1987,8,9,27,0,5908.354908,12479.082575555556,28608.59638,12434.74032
1987,9,21,733,42.009000908,3117.54121013,9765.379659809523,320029.261501,9847.1534883
1988,NA,1,1,0,0,354.1366,312.30832,42.477371
1988,1,50,300,1239.81173111,8627.904521389999,3494.2216857583335,182512.0661557,26882.1053199
1988,10,122,2480,10066.858452618,9213.9148998768,1188.2979648888984,131947.071949091,23347.396827634
1988,11,9,14,2.51500004,55.5400019714,26554.34633332111,35742.656822,7428.354008708
1988,12,37,1023,2363.27804112,9048.916763591,4985.909024075676,117480.21382931,19318.831339162
1988,2,76,3411,14999.844973444,26280.8369042798,8323.351122791999,575356.840264,64667.59068621
1988,3,291,6982,18791.315246611,30018.941457137,2725.4664841360764,738661.57607911,87528.7221813
1988,4,26,1262,2875.95099173,35973.28988541,14477.508173115384,350810.728992,57121.0833399
1988,5,83,2987,8250.708266949,15873.2559679047,3341.5661463876827,282267.94012818,40384.827495051
1988,6,222,7521,24502.819190621398,25584.8213793304,1927.813774158611,378470.980557959,56802.3753237285
1988,7,8,1083,2553.016,21887.184019,26086.891258749998,110763.57839,39959.41591
1988,8,10,31,0,7078.9609469,13585.8500203,38396.283499,15423.25301
1988,9,24,787,37.30099989,3745.8210995509,10207.977832728182,329878.7803156,5739.40207401
1989,1,54,407,1686.4337956,9679.08567451,3634.410010980769,203369.9511138,34421.396254600004
1989,10,152,3355,12735.183277223001,11170.1967342981,1325.4664259697888,171881.026642415,31492.701946188998
1989,11,14,22,39.614000069999996,1137.1900604198,29320.73253427857,72338.912714,8946.8660219
1989,12,38,2149,6280.51155998,11236.154773104,6514.614702284211,163364.729209579,26439.596161274
1989,2,89,4208,18892.60138573,35622.91208565,8441.144361997753,688768.6301191,83829.7625436
1989,3,313,9322,20202.6816648852,38009.907848774,2988.1138764954694,842750.55354878,99779.73746218
1989,4,29,1674,3487.5604157,33191.458904999,15202.968487072414,413746.76993801,61934.2506284
1989,5,99,5156,13750.333733309,18229.0029813703,3947.4332881436735,420952.72649800003,59852.565393498
1989,6,242,9330,29292.503200092,29431.561968988,1949.5848370152992,425274.81866697,61152.5346235121
1989,7,13,1151,3024.278088999,24845.42670598,18583.239157615386,129503.217045,44997.80464991
1989,8,10,30,0,6895.68992,12954.646804,38838.14967,14860.84171
1989,9,25,1134,270.27278105,2584.2366768964002,10740.799780943913,328450.0851179,5734.36445309
1990,NA,1,2,0,0,500.81165,369.11865,44.367069
1990,1,55,355,2149.865291899,12656.8884405,4838.013313849056,278810.854458,42532.87372438
1990,10,166,3179,16727.03060858,13930.9322990069,1535.2284241790849,205100.935666179,37608.2722035741
1990,11,10,16,45.29399796,158.1815850523,4716.80725876,7452.355254,2499.80160221
1990,12,46,2030,7490.927866998,9777.41848548,6587.175948346,193445.617717201,28843.09307873
1990,2,93,4126,23504.31664412,40201.2882861,9780.298861273865,778792.5229809,76670.4168814
