sic,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
3060,39,103,399.6032727399,1637.408267279,534.2178627692308,19039.295105,3100.64361312
3080,103,2999,4230.40025949,9628.11177061,1752.7097148556702,169985.5047151,24955.42328502
3081,101,823,2265.68700006,4347.0680251,1445.688374881188,129288.055801,19734.66582194
3086,31,91,71.456999001,310.130994295,300.29434744137933,14001.7161099,1048.57300215
3089,339,2157,2957.656788527,13421.379940326,911.5136082935736,270005.296348073,39769.519106807
3100,53,165,293.6340009,1429.40300239,962.3403781043478,44355.260761,6441.9090407
3140,94,174,141.75700152,1602.33899169,538.2706229680851,74987.184004,6766.72898839
3211,111,3587,13124.9246983,35290.18376,6939.898667738738,540149.795127,68308.7552608
3220,12,20,4.298000099999999,838.329426,1515.6458491666667,15376.49873,2801.027991
3221,33,953,1048.300008,10512.310993,6281.5955854545455,151593.4727,27568.362988
3231,21,319,331.3000028,417.98100047,189.008502025,7183.374008,473.5680031
3241,39,220,690.325719,15152.968126,12667.922698461538,238242.29056,44998.091177
3250,3,3,7.8000001999999995,24.6440001,301.072,644.12298,40.646001
3260,92,5234,4034.5638622,10621.064208,2795.5015264130434,176343.49639,25827.682059
3270,123,918,1395.02125898,12979.9095329,1904.0134893739837,222439.54018,31981.401476
3272,17,71,105.6079976,1534.12102354,1316.585329,17887.3114529,2773.6526479999998
3281,3,6,7.1170001,122.5300008,354.291,1063.62702,259.947
3290,149,1993,3340.4919913994,13681.281078357,1845.5704634227586,231331.49831179,30766.53593814
3310,134,4036,15304.2625846,34969.074002959,11208.913709631579,1024004.099498,115279.2188033
3312,387,5743,31897.42127827,260723.5669759,15491.358414741515,4734609.604867,537810.83084557
3317,36,121,795.539011,8913.361008599999,5089.144178361111,113783.727976,28669.16416498
3320,32,428,394.4860005,1501.7480022,867.1081568124999,33697.03811,4255.780031
3330,181,1561,4663.7051681,42795.5375007,4582.075893861878,612055.579508,81493.4693887
3334,42,452,957.868002,11610.037032,6220.001552631579,196078.0268,21408.152860000002
3341,3,4,70.700001,138.434,1458.2456733333333,7402.3609,556.784982
3350,209,1755,10748.14987829,81587.2526132,7049.569854418221,1323091.911479,172894.7690434
3357,193,8564,27489.4501656,40700.5200167651,5656.508225113783,1110871.9387786,90026.731848689
3360,24,63,15.71299973,105.3250003,90.67370795833334,3331.037019,271.0329952
3390,41,168,193.7359982,5403.9169221,1644.6829982820514,69890.299416,10776.521011
3411,136,1589,5888.327541,33766.0415195,5651.123998382353,714106.9201,88780.604945
3420,207,2032,4706.085028509,13438.91289042,1313.7419514089163,256468.737579,51636.952202699
3430,97,933,3787.20587802,10281.387305,3794.5569432021275,355201.134709,42768.460323
3433,10,18,3.2730000392,6.8140002078,3.679599977,57.401998909,-2.791000132
3440,81,199,176.33467302,1559.24649013,445.856516675,47861.849117,5393.31073186
3442,52,277,2653.9991739,3288.240789191,2710.376268280769,120214.3657699,18958.367527
3443,66,149,243.547999719,891.481001128,478.9375166560606,30768.5550086,3436.35194318
3444,7,9,8.9000006,35.723001083,107.43528825714286,1002.3729598,94.90200002
3448,29,99,64.64299989999999,491.4269987,441.90365313793103,21713.28139,1603.3249809000001
3452,91,268,399.22473329,1507.46302519,347.6694304222222,29802.883631,3302.8916754800002
3460,34,56,98.5265458,1679.4813369,682.8632333333334,33308.67745,2753.41312715
3470,59,116,209.88263078,1275.806192596,380.4292769016949,23610.584508,3494.86508051
3480,127,1016,1823.902171618,3466.646927799,867.65394340224,107326.9666667,15434.5667865
3490,248,2632,8835.244018622,13650.737543089,1764.9352016831276,462284.6169365,56695.19287767
3500,30,354,407.701013,329.56851009999997,705.017161,14959.61157,1895.367765
3510,208,5793,21151.71736957,29755.2977643298,5545.477616604327,1044480.759043069,87640.2240517
3523,262,8813,49093.233636149,77021.40168555701,8367.616496400393,1474246.087797,176858.85012683
3524,25,251,1320.03005101,1475.91878482,1915.555156152,54623.272893999994,5628.58567023
3530,201,5073,16063.5270244,24211.0449634,4549.202015645,948791.83131,107535.3707124
3531,196,9915,48939.7690369978,95787.980944499,9944.397952378062,1442300.98695632,221478.809784124
3532,59,526,1317.41542339,2286.5978348,1610.252576724138,87644.16349,10649.2997464
3533,197,1761,2539.440357508,12213.942209694,2360.268670444872,332399.47235146,58238.7889236526
3537,59,131,333.919996,464.658006557,187.98991209491524,17438.0070882,1470.253999052
3540,246,6143,11478.62994059,19623.99094976,2833.4582941432654,575239.3975493,78045.88240601
3541,53,264,1058.9175946,1598.2735981,1000.2855232075472,38076.33604,3443.9357028
3550,124,1117,3321.95972745,6227.110017912,2098.959805620161,292289.1633506,17124.281489963
3555,189,4040,6446.737684389,6055.4058346805,1132.6197138409575,190713.2347781,13334.85136342
3559,1017,31067,93409.604398527,37244.143770795,1361.551678437824,911106.138362988,170333.947929025
3560,306,10560,19738.334786754,32211.9283169891,3267.2641338039216,959733.6848709,141911.44268205
3561,174,4270,17534.8040192,20328.9571231,4823.842085662791,582576.194161,73870.9288759
3562,186,4819,10960.9441919032,27717.724275903,3318.3174652811826,539631.0535358,68016.49950101
3564,96,258,256.2809960402,843.1540107708,246.43182667755318,25861.27296409,3944.2110169771
3567,21,34,28.594177919,12.137105199,45.613408633333336,887.934844,40.06022745999999
3569,242,3167,4295.8776703,8039.7097829546,881.6048511934164,168965.366399302,25538.94826848
3570,273,111746,258179.72106461,279143.6234261,20099.6259191674,5656401.589582,555022.5420718
3571,300,14162,79480.83607212,56529.55378179,6187.143966477703,2637170.770409791,168962.26768182
3572,448,21692,91390.6538894,48039.2764682201,2468.5292925952162,920155.0139022,150946.25883948
3575,24,58,341.10599609,106.84900193,204.05956901304347,5484.1917812,216.156002612
3576,569,20712,141943.564947488,35938.39002922,3152.5921244057554,937691.833240081,219381.0428256748
3577,665,135412,157326.183400227,138291.499433141,4310.769238604455,2423828.378288899,365472.5184654196
3578,151,1527,3110.51962762,3641.729881988,653.467719406,109682.63476134,11802.794119350001
3579,147,9378,22517.396145516,27981.709295698998,4790.605078266207,557606.422079579,65466.97746034
3580,182,564,2076.838745014,3104.203970057,404.527489711875,82784.13928397,10090.59431055
3585,370,9700,36925.948043231,54254.589076398,4640.840644246301,1847939.5240535,188777.73681852
3590,154,1579,9063.180285001,13942.7511303206,3032.938884006491,400562.6957688596,29121.951905128
3600,218,155174,391924.8549634,352390.2717595,34690.004741509176,6774407.575062,549977.5748068
3612,139,1439,20051.577689409998,14412.2282503384,7172.808537312536,604937.3153163,95111.135540308
3613,81,677,21542.70107082,16986.336359761,8965.180501832052,596668.9310012,78081.265343342
3620,301,14389,39070.96422712,53321.43001264843,4083.5663420756478,1108446.26095093,130018.20483681
3621,261,3113,8664.7170315375,12075.719864003,1182.0929578727,276484.7097185998,34221.8201666918
3630,209,4693,19648.48227503,41185.805285831,3999.2241090961056,1093703.07849701,97488.2361865
3634,80,506,1637.9467715186,3635.53502961,1427.751743401519,124312.82933732,15461.805362931
3640,484,9721,20738.750579116,28103.8868225905,1537.360602007,684798.570993768,98413.8623626554
3651,443,35305,57417.432668656,48713.3713544995,2542.1604766906194,1268892.586153107,88705.596222241
3652,7,13,0,238,4868.571428571428,22921,2851.99994
3661,706,17787,104365.91576884,41072.2143339948,2107.85206527051,1026964.47397737,80206.553245989
3663,895,75580,383033.955598218,184773.5945656358,5571.552035454853,4327616.525115085,806044.072705205
3669,280,3793,8901.652188359,22857.7953908877,2748.0913362576016,474330.77097796,84031.716449265
3670,630,34847,57560.46484638,109508.065342621,2462.507315801282,1294938.81507897,178597.467184327
3672,228,2427,5529.754838192,25155.118266168,2275.0870427888394,841178.244571,47667.275678222
3674,3412,395922,816414.2276254355,1097069.0354298747,3490.163094026206,8968713.316405375,2035511.3881625505
3677,32,113,218.52500327,132.181000001,166.558248253125,5059.764116001,508.544001901
3678,234,5889,15956.154697269,22219.532881624,2108.524827032759,373638.3613863,73648.53789413
3679,627,25155,39162.89902558,150384.4848961287,2207.12353722712,941266.507071818,163243.0297049733
3690,430,2473,7659.906616989,7494.4753050752,549.1926214671045,191937.2232859757,22239.8952784879
3695,24,110,678.97300303,2093.4010025,423.58553208333336,8035.981025,1623.1589915
3711,851,123280,1522946.69392389,3264798.0475329906,62787.168974986824,40672925.43452755,4347751.207528602
3713,5,7,0.112000004,11.15199989,57.83039802,687.01799,27.32000072
3714,1309,64740,242590.578567225,324779.271823506,4267.630778873102,6406013.2342884,673405.300227913
3715,17,65,36.50599964,251.04100389,585.609363,18226.15072,1362.142006
3716,38,173,217.804001596,465.52999072980003,342.23805942857143,30166.126829,1066.5239866
3720,92,5148,41385.562308,57095.467965,15012.955639130434,993695.0045,128179.1743787
3721,239,23795,216067.694361,169940.1805805,24595.788300422595,4838773.49168,442633.792714
3724,118,11655,62011.7759086,47471.22981577,14520.083372949153,1533655.736515,210359.75763067
3728,190,4659,14846.28694651,17703.0379647002,2683.066419467895,430616.6239401,72589.528923
3730,43,241,1991.039016,5790.4600088,3363.2659376046513,142447.59318,13346.55999
3743,112,2911,7830.87879827,18981.976611802,4889.582705865385,345007.78891637997,34540.77692881
3751,120,4996,17131.207022993,17447.54325521,3770.8177170517242,468779.13831,59295.590946
3760,101,6133,30234.43692808,29716.209114779,9148.249113364356,1115849.109730298,125498.058739001
3790,99,2112,10736.20295123,13217.54033497,4494.549229285107,446150.8489469998,32112.2563213
3812,468,20227,85995.5892737304,59581.2111279497,5408.6687465883115,2139074.857046508,270300.7379104813
3821,67,127,209.548999359,250.272001867,100.49822524731343,5207.607002801,758.74997198
3822,59,5971,9735.40766234,10523.80289031,3156.0836798305086,220792.68552501,31296.176767301
3823,442,5001,22307.06259484,20896.0212862017,1629.562826031758,652467.156961818,127410.363209118
3824,57,360,2245.17501891,1011.705992286,579.982667485965,30928.169209,3864.26000508
3825,582,8935,32031.37603129,12004.571318952,659.8724421843576,297600.74470201,36419.24685899
3826,634,16818,71921.94798715,34588.5833239967,2444.2875678859937,933795.715974446,170263.58425711
3827,276,10113,20738.860893366,8996.292677074,1125.4746070077817,250052.36294038,37274.569282852
3829,364,4205,14495.672525586,5293.1141527611,906.8606884444322,210947.38521086,37855.4845296516
3841,1140,14624,32227.1358523805,29310.46910961823,689.3434568551718,522931.33171015553,107016.356050694
3842,902,9721,35043.6832418573,41605.1344128444,1226.3173224280756,735901.4957973709,162316.420203972
3843,116,905,2474.715015828,2540.015013625,913.4656923217391,63675.0559813,12959.34695637
3844,126,1055,3214.73501309,723.0639939389,728.2046833466393,34116.48458816,9187.362913378
3845,1681,70496,181428.960574753,96616.60808406223,1855.9228391754295,2140823.927410948,353855.7582083974
3851,145,3092,11827.5055218,15813.147857789,2723.9985006104894,290874.335963182,73703.41722578
3861,407,78696,87195.856158834,64479.655795766,4174.23609783266,1381748.41483071,167318.58502224
3873,95,3891,3500.6689663,9750.3085989,3294.618221368421,266191.18232,34866.101647999996
3910,4,5,0,31.704999899999997,387.060255,1627.509,101.706998
3911,16,22,0,188.04883734999999,275.1888948125,7032.66783,1427.4233712
3931,69,4899,4341.561473,3270.7447698,2273.3451944492754,158515.686025,11189.5570764
3942,56,1250,4785.464011,5564.848021,2491.8308742160716,153947.8954981,25121.84807
3944,117,1989,15061.56445841,5408.96881283,3776.8647421538462,324982.762173,56367.95866745
3949,145,2629,1561.4140990504,1974.093132829,449.5539883157554,70413.65915569,6802.40392911
3950,18,25,22.525999903,97.3190012,110.57288755555555,2329.762044,265.67500018
3960,23,172,27.79,325.72899995,233.65691239130436,4424.941975,753.2819982
3990,255,3068,7769.626411226,11771.8639480819,1374.6061486040317,250103.30885222,43857.9821169952
4011,48,108,0,96274.97947,32488.117127083333,542723.07799,211202.5063
4100,4,5,168.96695699999998,4341.727903,17700.685245,35523.7964,7601.418501
4210,70,784,468.73434199999997,120801.4509,39412.85177721429,3218526.210694,209201.20894109
4213,38,111,0,2097.074027797,861.8992995555556,67535.719235,4134.91902774
4400,20,23,0,3484.284947,1581.107597368421,17094.78485,3161.888057
4412,39,100,0,40214.483262271,11427.06321923077,314419.271238,75081.105149
4512,86,421,33.6120007,127794.5420776,19231.60251260465,1310367.806053,146740.3944373
4513,26,48,0,57204.88635,18477.3063,649817.8136,82116.04977
4522,6,9,0,385.0159979,940.7246828333333,3436.740987,690.7609918
4581,2,2,0.59099999,3.3059998999999998,31.1224995,53.475001,9.5749998
4610,6,8,0,8963.151,12713.594316666666,69662.4529,5470.9490000000005
4700,12,17,0,2286.019949,6408.409069166667,36898.91453,7307.12305
4731,6,7,2.2309999,415.1444407,1065.9243038333334,11694.63839,903.610708
4812,312,29719,57646.08376027,1575738.72299999,70936.10692014983,9754559.91515982,3219958.6239517
4813,446,16233,168743.7445269,1845897.96315458,49844.84577480247,11292578.49909,3630815.65564522
4822,12,33,118.38250011,94.28420492000001,94.44045858333334,126.81114120000001,-267.25994416000003
4832,27,186,870.0294417,4339.5594746,6403.685814074074,71225.66006301,17108.938032000002
4833,41,6203,3250.285,9479.167013,11458.3309225,256255.673,33337.96209
4841,69,1531,1101.793002999,157442.26414905,41255.01250433333,1298115.095502,390487.1103869
4888,74,1441,1716.2079899999999,127017.929979,55096.50760260274,1827756.8815,449084.66768
4899,218,1104,3068.983550958,13651.738479279,943.7113299923585,69316.85322003,12739.585985241
4911,328,1458,4520.401367,770868.631001,38713.178195718654,4075730.701488,1165809.992918
4922,15,16,0,24851.756186,19741.733641333332,95011.67022,26171.873984
4923,21,24,0,27439.837274,29397.336576190475,147159.98459,49315.627847100004
4924,28,36,0,14585.32443,6135.890658214285,97905.25419,16453.002641
4931,147,236,0,118852.740003,13950.127973061224,804042.01193,183528.804849
4932,3,3,0,1950.6850200000001,10684.314933333333,16698.4863,3023.9310100000002
4941,29,45,8.3809999,17271.881014866,8831.050711900345,53752.69255547,24587.250012268
4950,13,17,1.388999972,1054.9135833043,1710.999781223077,8554.03370965,2076.151071647
4953,47,74,0.241,21520.219121791,6211.916526378724,184980.0948394,48159.346648985
4955,77,126,96.662001774,954.2577815020001,452.84608298697367,21631.09168299,3819.623636841
4991,18,23,23.58199999,16188.352900236,16740.24750068889,113902.6640771,30302.1180998
5000,51,3994,634.4209950000001,62223.394045,51252.5298627451,3502531.6904,97525.38404
5010,1,1,0,113.364,956.24701,785.74799,282.19101
5013,11,22,4.81099999,20.53299999,80.69677655555556,1358.148997,96.51300046
5030,1,1,0,0.23200001,4.849,7.1439996,-0.116
5031,3,3,0,97.38000079999999,509.43236666666667,4359.90401,171.88500000000002
5040,18,67,149.3840028,738.24798792,1981.701495882353,35258.16591,3559.6289472
5045,53,125,483.483992219,673.409010566,968.4652281415094,121028.2664272,3833.845022748
5047,23,94,784.32061175,1144.13987302,1628.893990518182,62146.7449509,4753.780262
5051,37,137,9.347999999999999,3100.2979933,1743.1783816216216,87931.14581,4852.3770287
5063,12,17,0,156.51252936999998,2245.403566775,49314.689385,2902.93262894
5064,3,21,33.422001,44.491002,359.33402333333333,1860.3090200000001,199.094002
5065,29,33,4.9920001,1013.707006366,2313.559329517241,147551.71903,7500.30702798
5070,12,17,0.699999998,74.09674223,367.58801009999996,5882.138443,374.86437159999997
5072,4,6,0,18.30599994,223.52824475,970.481981,48.2709965
5080,34,94,154.4589996,680.453995601,645.6200617647058,28836.00913,2304.09598706
5082,3,3,0,188.0800825,860.9489156666666,3462.774573,420.57410331
5084,7,8,0.646,965.82502,2237.7602999714286,13780.195198399999,2376.6380199
5090,28,80,8.4130001004,313.5099991,259.51014214642856,18769.1919799,783.02900593
5093,6,14,0.7860000109999999,0.6699999793,11.025166783333333,116.70799988,-19.3630001
5094,6,6,0,5.8000001,216.01567,1979.32902,29.7719998
5099,33,34534,468.605963,53994.86271004,93230.48996966667,4568232.488001,84819.95074
5110,14,20,2.74200007,540.4514485,1216.7240985928572,39355.3557912,2867.45948194
5122,85,286,6811.99597989,11250.0259490919,11733.306322567845,3531664.599304,82729.522330979
5130,24,229,0.36138189,127.75459165,525.2943553958333,13829.11606,442.159733492
5140,57,825,7.15848985,1554.15458513,668.9135951578947,111392.096542,5706.220194595
5141,1,1,0,111,4374,17155,765
5150,29,52,5.3390001,3614.8328229,3085.326903793103,165143.84589,7528.134089
5160,19,19,9.00500028,568.71600501,1042.508049235294,24317.166165,1760.1860162
5171,3,3,0,324.608467,2502.7169,18950.9316,678.62852
5172,31,88,521.35269698,17155.1793237,9629.72245183871,432690.18088,24758.804411341
5190,12,22,14.494999700000001,84.417090739,233.19289793636364,3024.69215902,190.12154421
5200,33,1502,10407.31208,44798.157478,34122.00891751515,1035344.3364,128082.7632099
5211,17,27,0,36093.9999,35924.70564705882,1059458,126311.0005
5311,35,121,0,19530.201773,35081.009817142854,1169835.928,61330.72868
5331,32,738,0,246215.2905,104349.92537375,7505753.943,538995.411198
5400,1,1,0,9.7969999,136.04201,361.10101,38.409
5411,18,23,0,4536.9141985,4850.026955,171128.28401,11649.033892
5500,37,344,9564.16794,249939.5740019984,67200.73764564648,4163466.00901094,325176.71355089
5531,5,5,0,574.7609705,1332.4358606,9128.168889999999,1570.6950103000001
5621,9,16,0,1155.9629696,1746.8787766666667,25844.73787,3325.134983
5651,8,8,0,2161.061953,3241.2640178750003,52584.11332,7221.2622672
5661,33,63,0,1392.0449955,638.745119090909,44267.1979,3569.71097301
5700,4,4,0,356.80899189999997,2455.7512366666665,13328.65202,1965.3040095
5731,18,65,0,3337.077027,3333.830266666667,146577.0346,10838.229901
5735,7,10,0,61.650999399999996,354.3011514285714,4006.0170900000003,31.982000399999997
5812,66,156,47.500001,28534.59724585,4984.615059833333,333834.73098198,80813.9801995
5900,7,7,0,74.99499872,289.8888668571429,3903.917904,237.9029966
5912,51,229,2.75100002,26283.917040199998,21675.90212138,2281065.005281,145120.684031
5940,37,360,178.011969,3692.3652938,2108.2889636486484,104688.01349,7908.2262451
5944,6,6,0,521.8009989,929.4948516666666,5984.693086,1176.3730287
5945,2,3,0,24.047,127.0355,493.241,34.49400001
5960,2,2,0,3.1870003,62.079505,118.0310001,18.60799897
5961,73,5583,82119.53605164,41367.4274925161,7465.554664694286,882296.39896983,53701.94458918
5990,3,4,0,145.951001999,1366.4696000666665,7279.6859999,1161.1350099000001
6020,263,2911,0,86099.71458011,713044.9127964638,8464262.2785622,3427376.7197773
6035,7,8,0,603.05400019,44936.82284142857,16922.533999,6919.1769991
6036,3,3,0,39.70999797,15107.333663333333,2148.814101,1025.0059999
6099,69,1256,113.27099953999999,8093.149966004,10870.39098694353,296213.104133,141624.6095991
6111,32,177,0,0,1614651.980625,2125446.8413,1662795.9780000001
6141,66,989,0,29456.92100267,109313.35733992308,1027960.755727,258720.2457828
6153,4,8,0.9069999830000001,14.69899999,751.8520248699999,950.15501,359.33500989000004
6159,14,26,36.817999,9387.58508992633,6832.1377706428575,21547.73630602,16199.9320995
6162,4,4,0.94218171,12.9821234805,663.8820517500001,421.1258217,191.56091115
6163,11,118,0,112.01399854,1805.269311818182,3610.848,188.28516670000002
6172,2,2,0,7682.9995,24708.942997,5699.662,2146.75
6199,9,16,0,21631.9312,1684757.6666666667,861176.019,272749.4639
6200,66,406,15.0929999,3853.84901711,22070.331220962904,131125.962676,61133.7557328
6211,143,876,732.8911901,62715.9773289,228181.73725444757,1975859.192382,986480.7193848
6282,71,208,763.195992,20058.44204044,269966.65327630984,827932.0207146,430398.3950838
