year,sic_2d,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,10,1,8,0,234.57,1375.48,1207.54,312.9
1980,13,16,408,725.05,10111.06,4051.351875,87713.69,18601.56
1980,14,2,4,3.25,433.51,1301.54,1844.1200000000001,597.21
1980,16,3,25,10,247.48000000000002,920.4666666666667,6711.88,357.15999999999997
1980,17,1,1,0.22,0.06,1.05,0.8,-0.16
1980,20,16,90,265.16,2587.2,1923.83375,56063.3,6004.7300000000005
1980,21,1,19,0,780,7366.39,7328.3,1361.8
1980,22,5,14,7.48,235.35999999999999,491.03400000000005,3474.9100000000003,343.08
1980,23,4,14,1.21,128.20999999999998,419.755,3310.8700000000003,461.40000000000003
1980,24,4,27,59.36,810.3000000000001,1424.9325,5235.200000000001,1019.7
1980,25,5,39,11.67,89.88,197.476,1596.38,213.18
1980,26,14,381,449.76,3493.91,1954.4614285714285,31701.54,4711.81
1980,27,3,13,4.12,150.63000000000002,340.12666666666667,1510.19,214.98000000000002
1980,28,62,3454,4017.28,10413.76,1783.2948387096774,145566.35,20158.11
1980,29,14,1005,1473.25,28705.77,17715.935714285715,391486.73,57102.43
1980,30,10,131,220.61,397.62,794.892,12354.58,1103.21
1980,31,1,1,0,4.68,128.94,253.32,27.92
1980,32,8,199,130.98,826.5500000000001,1246.54875,12182.54,1406.8
1980,33,21,182,310.32,3851.23,2240.667,48746.35,5249.4
1980,34,29,203,133.61,865.15,416.6986206896552,18314.3,2112.14
1980,35,82,2418,4304.47,8880.56,1314.5891139240507,119437.64,17332.27
1980,36,82,2111,3139.06,6350.25,868.3554320987654,87650.34,10789.16
1980,37,41,1517,6697.49,17354.03,3193.149756097561,193497.15,12350.07
1980,38,64,1606,1355.72,3697.41,693.6959375,51234.48,6137.71
1980,39,5,38,26.400000000000002,33.660000000000004,182.96800000000002,1448.97,96.94000000000001
1980,48,5,595,766.92,20271.11,30872.018,73288.84,23934.129999999997
1980,49,5,14,0.05,12770.04,16189.276,22789.54,6883.28
1980,50,6,69,3.1399999999999997,563.75,4529.721666666666,75828.45,849.5
1980,53,1,6,0,368.3,28053.71,25194.8,2067.3
1980,55,1,1,0,5.1,84.71,162.16,9.33
1980,56,1,2,0,23.32,326.41,834.68,29.82
